City,Category Name,Grade,Avg Growth Rate
ALDEN,FLAVORED RUM,low,0.41741891476837917
ROCK VALLEY,AMERICAN CORDIALS & LIQUEUR,high,0.4173443468545653
DEWITT,BLENDED WHISKIES,low,0.4173191628434529
MELCHER-DALLAS,MIXTO TEQUILA,low,0.4172969281004217
WAVERLY,IRISH WHISKIES,mid,0.4172865282310892
COLUMBUS JUNCTION,IMPORTED FLAVORED VODKA,low,0.41728602252962393
MAPLETON,AMERICAN DISTILLED SPIRIT SPECIALTY,low,0.4172839506172839
MISSOURI VALLEY,IMPORTED SCHNAPPS,low,0.4172465566052081
EMMETSBURG,IMPORTED SCHNAPPS,low,0.4172380298706242
INDIANOLA,WHITE RUM,high,0.41716265203231906
CEDAR RAPIDS,SCOTCH WHISKIES,mid,0.4171543334271199
WASHINGTON,IRISH WHISKIES,high,0.4167383050361773
CENTRAL CITY,AMERICAN BRANDIES,low,0.4167333981562262
MINDEN,IRISH WHISKIES,low,0.4166666666666667
WALFORD,STRAIGHT BOURBON WHISKIES,mid,0.4166666666666667
FARMINGTON,TENNESSEE WHISKIES,high,0.4166666666666667
GREENE,FLAVORED RUM,high,0.41666666666666663
ROCK RAPIDS,IRISH WHISKIES,high,0.41666666666666663
BRITT,MEZCAL,low,0.41666666666666663
BROOKLYN,IMPORTED FLAVORED VODKA,low,0.4165356855760734
ADAIR,AMERICAN FLAVORED VODKA,low,0.41653455247868393
SULLY,BLENDED WHISKIES,low,0.41649203462822554
GRINNELL,AGED DARK RUM,low,0.41643370759777215
CORRECTIONVILLE,TENNESSEE WHISKIES,low,0.41632970952215403
GEORGE,IMPORTED DRY GINS,low,0.4163025632877873
SIBLEY,COCKTAILS/RTD,low,0.41625168382720185
BAXTER,AMERICAN CORDIALS & LIQUEUR,low,0.4161998132586368
DE SOTO,COCKTAILS/RTD,low,0.4161488918084826
SULLY,SPICED RUM,low,0.41614377084264453
WEBSTER CITY,IRISH WHISKIES,high,0.41603193508222297
SULLY,FLAVORED RUM,low,0.41567372433132704
HOLSTEIN,SPECIAL ORDER ITEMS,low,0.4155195819986092
WAVERLY,IMPORTED DISTILLED SPIRIT SPECIALTY,low,0.41547593083069917
EVANSDALE,SPICED RUM,high,0.41547102370558825
CHARLES CITY,AMERICAN CORDIALS & LIQUEUR,high,0.41535441687605174
INWOOD,TENNESSEE WHISKIES,high,0.41515383024248637
CLARION,TENNESSEE WHISKIES,high,0.4149619818493992
TRAER,AMERICAN CORDIALS & LIQUEUR,low,0.4147004758418535
CORRECTIONVILLE,IMPORTED VODKAS,high,0.4146804022379096
FLOYD,AMERICAN SCHNAPPS,low,0.41466003179562627
MOUNT AYR,IMPORTED CORDIALS & LIQUEUR,low,0.4146266465489144
WALL LAKE,CREAM LIQUEURS,low,0.4146190565665096
ELDON,AMERICAN SCHNAPPS,low,0.41461538461538466
MECHANICSVILLE,CANADIAN WHISKIES,low,0.41460852353431205
HARTLEY,IRISH WHISKIES,low,0.4144673341301141
WATERLOO,100% AGAVE TEQUILA,low,0.4144581287404276
MERRILL,CANADIAN WHISKIES,low,0.4144546002597222
HARTLEY,AMERICAN FLAVORED VODKA,low,0.41443508466115525
OSCEOLA,FLAVORED RUM,high,0.4143982689804416
AMES,CREAM LIQUEURS,high,0.41357132434539
ELDRIDGE,TENNESSEE WHISKIES,low,0.41350117400554653
LAMONI,STRAIGHT RYE WHISKIES,low,0.4134776655282424
MOUNT PLEASANT,TENNESSEE WHISKIES,high,0.41335933467753366
HARTLEY,TENNESSEE WHISKIES,high,0.41307169312271835
BOONE,SCOTCH WHISKIES,high,0.4129259527815074
LENOX,STRAIGHT BOURBON WHISKIES,low,0.41292050363141986
GOLDFIELD,AMERICAN FLAVORED VODKA,low,0.4128487038875149
WAPELLO,IMPORTED BRANDIES,low,0.4128443898127248
REDFIELD,STRAIGHT BOURBON WHISKIES,low,0.4126204173448355
BUFFALO CENTER,WHISKEY LIQUEUR,low,0.4125279734844156
WELLMAN,STRAIGHT BOURBON WHISKIES,mid,0.4122447259884912
SPENCER,100% AGAVE TEQUILA,high,0.41218952312285606
MOUNT AYR,COCKTAILS/RTD,low,0.4121540983789685
LISBON,IMPORTED VODKAS,high,0.41199636420224645
DAVENPORT,AMERICAN CORDIALS & LIQUEUR,high,0.4119620898081511
WASHINGTON,STRAIGHT RYE WHISKIES,mid,0.4118325677530518
MARQUETTE,SPICED RUM,low,0.4117954690495642
STANTON,BLENDED WHISKIES,low,0.4117647058823529
WALL LAKE,STRAIGHT BOURBON WHISKIES,low,0.41175550435589026
MANLY,MIXTO TEQUILA,low,0.4117277801292589
FONDA,WHITE RUM,low,0.4116970310366057
