Category Name,Bottle Size,Grade,Avg Growth Rate
BLENDED WHISKIES,l,low,-0.03051846195855139
SCOTCH WHISKIES,l,low,-0.035527209994163964
NEUTRAL GRAIN SPIRITS,m,low,-0.040963071432583494
TEMPORARY & SPECIALTY PACKAGES,s,low,-0.04300659700034153
IMPORTED FLAVORED VODKA,s,low,-0.04796979424904476
IMPORTED VODKAS,s,low,-0.0519074091644793
SINGLE MALT SCOTCH,s,high,-0.05314803350400093
100% AGAVE TEQUILA,s,mid,-0.08580625605719193
IMPORTED CORDIALS & LIQUEURS,m,low,-0.1258827214871911
MEZCAL,m,high,-0.13384046998361437
FLAVORED GIN,l,low,-0.15492957746478872
IMPORTED FLAVORED VODKA,s,high,-0.18958159871195368
CANADIAN WHISKIES,m,high,-0.20546077991302822
SINGLE MALT SCOTCH,s,low,-0.40625
MEZCAL,l,low,-0.444259987761168
NEUTRAL GRAIN SPIRITS,m,high,-0.5555555555555556
MIXTO TEQUILA,m,high,-0.6636244636753691
