_c0,Store Number,Recency,Frequency,Monetary,r_seg,f_seg,m_seg,RFMScore,prediction,Store,Report Date,Name,Store Status,Address,State,Zip Code,latitude,longitude,City
12,4975,27,226,45741.9,4,4,3,443,1,4975,2022-11-01,WALGREENS #15647 / SIOUX CITY,A,1900 HAMILTON BLVD,IA,51104,42.511222,-96.416702,SIOUX CITY
13,3826,209,71,13956.78,4,4,4,444,1,3826,2022-11-01,LAKESIDE HOTEL & CASINO,A,777 CASINO DR,IA,50213,41.040076,-93.797569,OSCEOLA
14,2700,5,919,165324.56,2,2,1,221,1,2700,2022-11-01,HY-VEE DOLLAR FRESH - EMMETSBURG,A,3402 MAIN STREET,IA,50536,43.111917,-94.693413,EMMETSBURG
15,3949,5,774,148649.79,2,2,2,222,1,3949,2022-11-01,WAL-MART 0751 / PELLA,A,1650 WASHINGTON ST,IA,50219,41.410511,-92.934358,PELLA
16,5044,10,416,67054.34,3,3,2,332,1,5044,2022-11-01,CASEY'S GENERAL STORE #3202 / CRESCE,A,"111, MORMON BRIDGE RD",IA,51526,41.362302,-95.85886,CRESCENT
17,5757,10,266,27115.44,3,3,4,334,1,5757,2022-11-01,CASEY'S GENERAL STORE #1651 / ALBIA,A,1117 CLINTON ST,IA,52531,41.016644,-92.80911,ALBIA
18,5316,5,1246,40314.34,2,1,3,213,1,5316,2022-11-01,BROTHER'S MARKET/ SIGOURNEY,A,118 SOUTH MAIN STREET,IA,52591,41.332944,-92.205098,SIGOURNEY
19,5913,4,262,39146.42,2,4,3,243,1,5913,2022-11-01,CASEY'S GENERAL STORE #1427 / CLEAR LAKE,A,6 PLAZA DR,IA,50428,43.145936,-93.360505,CLEAR LAKE
20,2696,10,415,51296.99,3,3,3,333,1,2696,2022-11-01,HY-VEE C-STORE / SE ARMY POST,A,1113 SE ARMY POST RD,IA,50315,41.526277,-93.601142,DES MOINES
21,5181,6,480,47937.57,3,3,3,333,1,5181,2022-11-01,CASEY'S GENERAL STORE #3434  /  DENV,A,"1101, JEFFERSON ST",IA,50622,42.661531,-92.336974,DENVER
22,6081,14,738,34061.0,4,2,3,423,1,6081,2022-11-01,CIRCLE K / WDM,A,3501 EP TRUE PARKWAY,IA,50265,41.570152,-93.752618,WEST DES MOINES
23,6143,5,2579,346913.41,2,1,1,211,1,6143,2022-11-01,HOMETOWN WINE & SPIRITS / OSKALOOSA,A,1202 A AVE E,IA,52577,41.296289,-92.631668,OSKALOOSA
24,4988,4,7769,1301546.92,2,1,1,211,0,4988,2022-11-01,HAPPY'S WINE & SPIRITS,A,5925 UNIVERSITY AVE,IA,50613,42.512762,-92.429644,CEDAR FALLS
