Store Number,Recency,Frequency,Monetary,r_seg,f_seg,m_seg,RFMScore,prediction,Store,Report Date,Name,Store Status,Address,State,Zip Code,longitude,latitude,City
3932,6,1994,206801.88,3,1,1,311,0,3932,2022-11-01,MAIN STREET SPIRITS / MAPLETON,A,311 MAIN ST,IA,51034,-95.79375,42.165915,MAPLETON
5279,4,582,52652.46,2,2,3,223,0,5279,2022-11-01,CASEY'S GENERAL STORE # 2560/ AMES,A,3020 DUFF AVE,IA,50010,-93.618112,42.051189,AMES
3784,6,1417,148105.68,3,1,2,312,0,3784,2022-11-01,HARTIG DRUG #14 / INDEPENDENCE,A,200  1ST ST EAST,IA,50644,-91.893016,42.468721,INDEPENDENCE
4254,5,518,67290.09,2,3,2,232,0,4254,2022-11-01,FAREWAY STORES #849 / EMMETSBURG,A,2008 12TH STREET,IA,50536,-94.677307,43.109244,EMMETSBURG
6331,0,1091,23880.3,1,2,4,124,0,6331,2022-11-01,MAIN STREET TOBACCO SHOP / MAQUOKETA,A,113 NORTH MAIN STREET,IA,52060,-90.665532,42.069736,MAQUOKETA
5825,10,414,52143.08,3,3,3,333,0,5825,2022-11-01,CASEY'S GENERAL STORE #2019 / WEST BURLINGTON,A,501 E MT PLEASANT ST,IA,52655,-91.150633,40.825978,WEST BURLINGTON
4500,13,305,50017.3,4,3,3,433,0,4500,2022-11-01,CASEY'S GENERAL STORE #2788 / NORTH LIBERTY,A,595 N KANSAS AVE,IA,52317,-91.636957,41.751999,NORTH LIBERTY
3710,17,57,12551.21,4,4,4,444,0,3710,2022-11-01,NEW YORK DOLLAR STORE,A,219 MAIN ST,IA,52738,-91.360496,41.279559,COLUMBUS JUNCTION
3888,6,850,175780.22,3,2,1,321,0,3888,2022-11-01,WAL-MART 0647 / GRINNELL,A,415 INDUSTRIAL AVE,IA,50112,-92.730259,41.720919,GRINNELL
4674,4,975,70660.88,2,2,2,222,0,4674,2022-11-01,KUM & GO #227 / AMES,A,2108 ISAAC NEWTON DR,IA,50010,-93.585995,42.009583,AMES
6010,6,81,10369.92,3,4,4,344,0,6010,2022-11-01,CASEY'S GENERAL STORE #1084 / EVANSDALE,A,3601 LAFAYETTE RD,IA,50707,-92.287899,42.477215,EVANSDALE
5715,6,492,35127.49,3,3,3,333,0,5715,2022-11-01,RAYSMARKET,A,3452 LAFAYETTE ROAD,IA,50707,-92.291731,42.478437,EVANSDALE
2602,3,4243,487180.11,1,1,1,111,3,2602,2022-11-01,HY-VEE FOOD STORE / WEBSTER CITY,A,823  2ND ST,IA,50595,-93.825486,42.469466,WEBSTER CITY
5903,10,388,61154.59,3,3,2,332,0,5903,2022-11-01,HOT SPOT FOOD AND LIQUOR / BURLINGTON,A,1618 OSBORN STREET,IA,52601,-91.112635,40.825513,BURLINGTON
4183,3,1358,202565.04,1,1,1,111,0,4183,2022-11-01,FAREWAY STORES #589 / DECORAH,A,103 E MAIN,IA,52101,-91.785286,43.303291,DECORAH
3916,3,992,43849.36,1,2,3,123,0,3916,2022-11-01,SMOKIN' JOE'S #5 TOBACCO AND LIQUOR OUTLET,A,1115 ALBIA RD,IA,52501,-92.437229,41.009343,OTTUMWA
5006,21,177,10539.54,4,4,4,444,0,5006,2022-11-01,KWIK STOP 16TH STREET #325,A,1210 E 16TH ST,IA,52001,-90.655786,42.511752,DUBUQUE
5089,6,608,51353.77,3,2,3,323,0,5089,2022-11-01,MOS MINI MART,A,"614, E ERIE ST",IA,51555,-95.886703,41.556439,MISSOURI VALLEY
5875,34,128,14777.45,4,4,4,444,0,5875,2022-11-01,FAIRBANK FOOD CENTER / FAIRBANK,A,102 N 4TH ST,IA,50629,-92.047352,42.639631,FAIRBANK
6241,6,159,15892.65,3,4,4,344,0,6241,2022-11-01,RAYMOND'S STATION / GARWIN,A,501 FRONT STREET,IA,50632,-92.678397,42.093297,GARWIN
4497,21,184,25302.27,4,4,4,444,0,4497,2022-11-01,CASEY'S GENERAL STORE #20 / ALDEN,A,"1008, GRAND",IA,50006,-93.380237,42.514223,ALDEN
5871,13,854,161480.36,4,2,1,421,0,5871,2022-11-01,GM MART / IOWA CITY,A,2601 HIGHWAY 6 EAST,IA,52240,-91.49667,41.634734,IOWA CITY
5236,3,4002,433371.77,1,1,1,111,3,5236,2022-11-01,"GIGGLE JUICE LIQUOR STATION, LLC",A,600 W. MAIN ST.,IA,52205,-91.290948,42.108201,ANAMOSA
4532,10,294,29682.51,3,3,4,334,0,4532,2022-11-01,CASEY'S GENERAL STORE #2274 / SIOUX RAPIDS,A,720 HWY 71,IA,50585,-95.152943,42.88744,SIOUX RAPIDS
5077,3,1787,294659.99,1,1,1,111,0,5077,2022-11-01,WAL-MART 3150 / COUNCIL BLUFFS,A,1800 N 16TH ST,IA,51501,-95.867438,41.280027,COUNCIL BLUFFS
4428,4,1926,79663.58,2,1,2,212,0,4428,2022-11-01,KUM & GO #200 / AMES,A,4510 MORTENSEN RD,IA,50014,-93.679384,42.0121,AMES
5070,0,1523,61635.29,1,1,2,112,0,5070,2022-11-01,JEFF'S MARKET / WILTON,A,101 E 4TH ST,IA,52778,-91.01652,41.58873,WILTON
4872,5,919,65756.27,2,2,2,222,0,4872,2022-11-01,CASEY'S GENERAL STORE #2644 / EARLHAM,A,975 N CHESTNUT AVE,IA,50072,-94.123159,41.500191,EARLHAM
5771,13,186,29708.96,4,4,4,444,0,5771,2022-11-01,CASEY'S GENERAL STORE #2867 / WATERLOO,A,2424 RANCHERO RD,IA,50701,-92.407574,42.454223,WATERLOO
9039,12,43,159021.24,4,4,1,441,0,9039,2022-11-01,FOUNDRY DISTILLING COMPANY,I,111 SOUTH 11TH ST. STE 100,IA,50265,-93.718007,41.568657,WEST DES MOINES
6170,4,676,53764.61,2,2,3,223,0,6170,2022-11-01,CASEY'S GENERAL STORE #4 / DES MOINES,A,6565 NW 6TH DR,IA,50313,-93.629572,41.67967,DES MOINES
6295,5,327,43674.42,2,3,3,233,0,6295,2022-11-01,BOB & SCOTT'S / PRIMGHAR,A,110 1ST STREET NORTHEAST,IA,51245,-95.628128,43.087267,PRIMGHAR
5666,6,599,1299116.14,3,2,1,321,0,5666,2022-11-01,COSTCO WHOLESALE #1325 / DAVENPORT,A,2790 E 53RD ST,IA,52807,-90.533939,41.57483,DAVENPORT
5928,19,165,22600.95,4,4,4,444,0,5928,2022-11-01,CASEY'S GENERAL STORE #1762 / ALGONA,A,602 E STATE STREET,IA,50511,-94.230221,43.068899,ALGONA
2585,5,2602,603922.11,2,1,1,211,0,2585,2022-11-01,HY-VEE WINE AND SPIRITS / ALGONA,A,1502 HIGHWAY 169 N SUITE 1,IA,50511,-94.235955,43.08091,ALGONA
4103,4,1592,253658.0,2,1,1,211,0,4103,2022-11-01,FAREWAY STORES #093 / AMES,A,3619 STANGE RD,IA,50010,-93.645022,42.057156,AMES
5945,0,381,47865.66,1,3,3,133,0,5945,2022-11-01,CASEY'S GENERAL STORE #3899 / CEDAR RAPIDS,A,235 EDGEWOOD RD NW,IA,52405,-91.715931,41.974234,CEDAR RAPIDS
3385,4,2396,2711642.61,2,1,1,211,3,3385,2022-11-01,SAM'S CLUB 8162 / CEDAR RAPIDS,A,2605 BLAIRS FERRY RD NE,IA,52402,-91.67969,42.031819,CEDAR RAPIDS
5801,3,165,19347.88,1,4,4,144,0,5801,2022-11-01,CASEY'S GENERAL STORE #2647 / CENTER POINT,A,4397 N CENTER POINT,IA,52213,-91.466769,42.168384,CENTER POINT
5746,21,174,27193.87,4,4,4,444,0,5746,2022-11-01,CASEY'S GENERAL STORE #3037 / CHEROKEE,A,1200 N 2ND ST,IA,51012,-95.552351,42.764395,CHEROKEE
5039,0,373,50438.19,1,3,3,133,0,5039,2022-11-01,CASEY'S GENERAL STORE #3384 / SOLON,A,1200 S MARKET ST,IA,52333,-91.490644,41.797403,SOLON
4234,5,529,120650.3,2,3,2,232,0,4234,2022-11-01,FAREWAY STORES #788 / SPENCER,A,104 E EIGHTH ST,IA,51301,-95.143388,43.145797,SPENCER
4657,6,442,42839.52,3,3,3,333,0,4657,2022-11-01,CASEY'S GENERAL STORE #2526 / WELLSBURG,A,308 N WASHINGTON,IA,50680,-92.925248,42.436438,WELLSBURG
6097,5,350,50693.9,2,3,3,233,0,6097,2022-11-01,BREW OIL #51 / SANBORN,A,101 W 7TH ST,IA,51248,-95.656064,43.186035,SANBORN
4396,6,269,35417.69,3,3,3,333,0,4396,2022-11-01,"TRUNCK'S COUNTRY FOODS, INC.",A,606 GRUNDY AVE,IA,50669,-92.601293,42.325703,REINBECK
10063,6,138,13757.89,3,4,4,344,0,10063,2022-11-01,IB PONY / WATERLOO,A,9 N ELK RUN ROAD,IA,50703,-92.258871,42.498751,WATERLOO
2722,35,30,5145.14,4,4,4,444,0,2722,2022-11-01,HY-VEE GAS #5 / DAVENPORT,A,2353 W LOCUST ST,IA,52804,-90.612631,41.538203,DAVENPORT
5522,6,583,45159.69,3,2,3,323,0,5522,2022-11-01,CASEY'S GENERAL STORE #3653 / GREENE,A,209 W SOUTH ST,IA,50636,-92.812326,42.890772,GREENE
3890,0,2314,103100.43,1,1,2,112,0,3890,2022-11-01,SMOKIN' JOE'S #7 TOBACCO AND LIQUOR OUTLET,A,904  1ST AVE NW,IA,52405,-91.683667,41.972773,CEDAR RAPIDS
3776,0,1767,280251.49,1,1,1,111,0,3776,2022-11-01,WAL-MART 5115 / DAVENPORT,A,3101 WEST KIMBERLY RD,IA,52806,-90.62274,41.558031,DAVENPORT
4001,0,1181,200164.98,1,2,1,121,0,4001,2022-11-01,WAL-MART 1787 / CARROLL,A,2014 KITTY HAWK AVE,IA,51401,-94.893501,42.081312,CARROLL
6000,0,1414,67284.74,1,1,2,112,0,6000,2022-11-01,PORTERS CONVENIENCE 66 / CLINTON,A,1512 LINCOLN WAY,IA,52732,-90.221831,41.817449,CLINTON
3528,4,572,118169.32,2,2,2,222,0,3528,2022-11-01,SUPER TARGET T-0804 MASON CITY,A,3450  4TH ST SW,IA,50401,-93.252371,43.148375,MASON CITY
4492,0,1228,125699.11,1,1,2,112,0,4492,2022-11-01,CASEY'S GENERAL STORE #2773 / CEDAR RAPIDS,A,3625 EDGEWOOD RD SW,IA,52404,-91.715911,41.942366,CEDAR RAPIDS
4482,6,696,90068.29,3,2,2,322,0,4482,2022-11-01,INDY 66 WEST #929 / INDIANOLA,A,2001 WEST 2ND AVE,IA,50125,-93.587628,41.356153,INDIANOLA
5263,6,1209,171005.15,3,1,1,311,0,5263,2022-11-01,BERNIE'S BOOZE LLC,A,"950, WEST VIEW DR",IA,51247,,,ROCK VALLEY
5477,3,207,37800.28,1,4,3,143,0,5477,2022-11-01,CASEY'S GENERAL STORE #3293 / MARQUETTE,A,103 1ST ST,IA,52158,-91.766633,43.148082,MARQUETTE
4084,5,1369,279206.93,2,1,1,211,0,4084,2022-11-01,FAREWAY STORES #061 / ANKENY,A,3205 NORTH ANKENY BLVD,IA,50021,-93.600265,41.757078,ANKENY
4171,3,873,78482.64,1,2,2,122,0,4171,2022-11-01,"BROTHERS MARKET, INC. / CASCADE",A,105 SE NIXON ST,IA,52033,-90.993859,42.3036,CASCADE
10034,3,198,28621.56,1,4,4,144,0,10034,2022-11-01,HY-VEE FAST AND FRESH #5 / URBANDALE,A,15501 MEREDITH DRIVE,IA,50323,-93.832158,41.643792,URBANDALE
4439,10,796,44097.7,3,2,3,323,0,4439,2022-11-01,CENTER POINT FOODS,A,800 FORD LANE,IA,52213,-91.775736,42.177736,CENTER POINT
5851,3,237,24319.08,1,4,4,144,0,5851,2022-11-01,CASEY'S GENERAL STORE #74 - MORNING SUN,A,618 S CHURCH STREET,IA,52640,-91.254443,41.089418,MORNING SUN
