index,Store Number,Recency,Frequency,Monetary,r_seg,f_seg,m_seg,RFMScore,prediction
718,5630,6,441,63914.97,3,3,2,332,0
719,6167,18,200,25891.99,4,4,4,444,0
720,6134,82,86,5048.67,4,4,4,444,2
721,4006,6,557,120619.36,3,3,2,332,0
722,10003,6,395,46824.91,3,3,3,333,0
723,4621,266,57,6211.13,4,4,4,444,1
724,2611,5,3279,368942.53,2,1,1,211,0
725,2719,3,426,45400.31,1,3,3,133,0
726,5403,0,1045,116126.65,1,2,2,122,0
727,2106,4,2975,797562.91,2,1,1,211,0
728,5444,4,4035,641048.93,2,1,1,211,3
729,5400,48,109,12065.91,4,4,4,444,2
730,5091,0,1580,60627.58,1,1,2,112,0
731,5643,6,1736,76233.17,3,1,2,312,0
732,4472,4,583,64883.8,2,2,2,222,0
733,5436,0,2077,101735.13,1,1,2,112,0
734,6154,187,836,80474.73,4,2,2,422,1
735,5480,20,347,41092.69,4,3,3,433,0
736,5603,20,197,27403.17,4,4,4,444,0
737,5339,115,443,48788.81,4,3,3,433,2
738,2512,0,8138,4931713.22,1,1,1,111,3
739,2191,5,5095,1077085.23,2,1,1,211,3
740,5995,35,2094,227045.44,4,1,1,411,0
741,4555,47,241,36493.75,4,4,3,443,2
742,4456,6,1092,59084.2,3,2,2,322,0
743,5051,3,1559,139330.33,1,1,2,112,0
744,2459,3,1217,102592.03,1,1,2,112,0
745,10051,34,121,16118.0,4,4,4,444,0
746,5110,3,419,29261.08,1,3,4,134,0
747,5058,4,800,50437.12,2,2,3,223,0
748,5797,6,347,38804.02,3,3,3,333,0
749,4530,0,455,51674.31,1,3,3,133,0
750,5289,6,312,41982.92,3,3,3,333,0
751,2839,35,82,10358.68,4,4,4,444,0
752,4019,6,906,159205.56,3,2,1,321,0
753,5151,6,1686,200682.2,3,1,1,311,0
754,2591,3,3395,577447.57,1,1,1,111,3
755,4313,3,786,108157.64,1,2,2,122,0
756,4232,3,578,86642.72,1,2,2,122,0
757,2538,4,8672,950284.95,2,1,1,211,3
758,2684,5,1240,181963.71,2,1,1,211,0
759,4498,6,487,40250.86,3,3,3,333,0
760,5906,270,122,10792.2,4,4,4,444,1
761,10023,11,99,14080.25,3,4,4,344,0
762,6214,5,760,76197.12,2,2,2,222,0
763,5361,3,1255,82321.89,1,1,2,112,0
764,5910,0,1877,475050.17,1,1,1,111,0
765,5590,5,739,60283.88,2,2,2,222,0
766,4067,3,859,69347.79,1,2,2,122,0
767,5602,10,174,28691.28,3,4,4,344,0
768,5554,7,103,17960.86,3,4,4,344,0
769,10067,12,101,7043.42,4,4,4,444,0
770,3871,35,175,38656.26,4,4,3,443,0
771,6257,6,1130,136667.43,3,2,2,322,0
772,4664,3,340,52141.28,1,3,3,133,0
773,4891,6,1900,198776.79,3,1,1,311,0
774,4436,4,491,44798.5,2,3,3,233,0
775,5246,5,479,58556.01,2,3,2,232,0
776,6224,0,1523,179886.91,1,1,1,111,0
777,4944,6,244,33577.78,3,4,3,343,0
778,2666,4,8277,1628558.23,2,1,1,211,3
779,6262,0,1169,113288.42,1,2,2,122,0
780,2667,6,439,40787.35,3,3,3,333,0
781,4116,0,592,75302.18,1,2,2,122,0
782,5974,10,341,44510.23,3,3,3,333,0
783,4319,3,716,82681.32,1,2,2,122,0
784,5933,6,761,137016.02,3,2,2,322,0
785,4126,0,963,137257.32,1,2,2,122,0
786,6001,6,153,21793.86,3,4,4,344,0
787,6049,6,136,25069.38,3,4,4,344,0
788,5551,7,315,42660.75,3,3,3,333,0
789,5988,20,213,21288.87,4,4,4,444,0
790,4336,6,899,56192.24,3,2,3,323,0
791,5145,3,2295,413200.73,1,1,1,111,0
792,5425,0,1888,256216.41,1,1,1,111,0
793,4537,38,478,46989.45,4,3,3,433,0
794,4192,6,880,253171.71,3,2,1,321,0
795,4137,6,1048,135133.6,3,2,2,322,0
796,5835,33,227,32916.47,4,4,3,443,0
797,2695,17,168,16973.07,4,4,4,444,0
