City,Bottle Size,Avg Growth Rate
WELLMAN,s,0.4243613485494235
LARCHWOOD,s,0.42141650697355243
URBANA,s,0.42017622742874866
ONAWA,s,0.4193718983299199
HAMBURG,s,0.4188168699645685
BANCROFT,m,0.41566594426275344
URBANDALE,s,0.4134654149500976
SWISHER,l,0.41135043928834564
LISBON,s,0.41095689041822636
HUMESTON,s,0.409415098342006
ARNOLDS PARK,m,0.4093652628146105
WELLSBURG,s,0.4092905575106525
CAMANCHE,s,0.4054297786595526
DALLAS CENTER,l,0.4053800467347933
CLARENCE,s,0.403748933415755
EDGEWOOD,m,0.4027944846540797
MARQUETTE,s,0.40135291700723313
WALCOTT,l,0.39952541918519563
RUTHVEN,s,0.3987990659819204
LAKE VIEW,m,0.39690223941695374
GREENE,s,0.39653633956772705
HUDSON,s,0.39651544337477884
ELDRIDGE,m,0.3964638539535134
SCHLESWIG,m,0.39615855689072316
ROBINS,l,0.39527060904321454
ELDON,m,0.3951909675739582
HILLS,m,0.3950824230788145
ELDORA,s,0.3949064413524141
REDFIELD,s,0.39490423295028715
ROCK RAPIDS,s,0.39388046846645386
CLERMONT,m,0.3928429566732912
COLFAX,s,0.3917508259654781
RAYMOND,m,0.39117732129731014
DOON,m,0.38981745605767354
MONTEZUMA,s,0.3895882656552773
APLINGTON,l,0.38873312357059114
HAMPTON,m,0.3877359387379243
MONTROSE,l,0.3840545438587992
ELK RUN HEIGHTS,m,0.38390701183805137
ADEL,s,0.38199591725247234
ORANGE CITY,s,0.38081306467203263
WINFIELD,s,0.3801536410975415
NORTH ENGLISH,s,0.3797532482841571
GRINNELL,s,0.3768124876430606
GUTHRIE CENTER,s,0.3757727010034189
DAYTON,m,0.3747972831959678
HOLSTEIN,s,0.3696873354811098
JEWELL,s,0.3680624950545757
ST LUCAS,m,0.36609089557769137
CRESTON,s,0.3659505366365751
MORAVIA,m,0.365194470339343
ROCKFORD,s,0.36493933012002605
MALVERN,s,0.3642936654116773
DEWITT,s,0.3639008981031941
OTHO,m,0.3604803263848786
MECHANICSVILLE,s,0.358770242338319
ROBINS,s,0.35860148257311586
GEORGE,s,0.3571515184960505
CORALVILLE,s,0.3568689417364837
APLINGTON,s,0.35537633217255055
ALTA,m,0.35379538083382805
MONROE,l,0.3537798080548414
SULLY,m,0.3534203726158789
SAC CITY,s,0.3529817007585349
LOVILIA,s,0.3520501186731411
ALLISON,s,0.3517292257706141
SHELLSBURG,s,0.351420664624972
LOVILIA,l,0.3513028785328976
JEWELL,m,0.34810063638905064
BONDURANT,m,0.34750724345955747
CRESCENT,m,0.3437756905071867
HAWARDEN,m,0.342598716540606
SANBORN,m,0.3425636385446169
EARLHAM,m,0.3408236183668894
NEWTON,s,0.3401628700402563
CARLISLE,s,0.3398951607822572
DYERSVILLE,s,0.33965426766020373
COON RAPIDS,s,0.33851774007685903
PEOSTA,s,0.3384620607455017
BONDURANT,s,0.3355550903253805
MARQUETTE,l,0.3340124342991104
GRIMES,m,0.3317126129785034
MOUNT AYR,m,0.3311706479557792
LEON,s,0.33067650521682385
EARLHAM,s,0.32993529336862687
VINTON,m,0.3294555989657329
CRESCENT,s,0.32897307645361856
GRISWOLD,s,0.3283276831573934
GOLDFIELD,l,0.3276793287437236
FREMONT,m,0.32518902886351775
WESLEY,m,0.324412950949674
POLK CITY,m,0.3243152422779711
PACIFIC JUNCTION,s,0.32367005484051253
CEDAR FALLS,s,0.32283962491519064
MINDEN,m,0.32237051467239475
MECHANICSVILLE,l,0.3202947565994351
AUDUBON,s,0.31946191222571146
FORT ATKINSON,s,0.31910864356910856
DOWS,s,0.3184312900227781
ALBION,m,0.3170351200081765
WALCOTT,m,0.31665516514555087
GLENWOOD,s,0.31632825062910924
WAUKEE,s,0.31572667496863555
WALCOTT,s,0.3156088152354981
FAIRFAX,l,0.31554751554856963
EVANSDALE,m,0.3148458824543129
KANAWHA,s,0.31222559592649246
STUART,s,0.31022992821344064
SPENCER,s,0.3100842167618269
ADAIR,s,0.30991079146891715
OELWEIN,s,0.30919323797814857
MILFORD,m,0.3074712168662011
FREDERICKSBURG,m,0.3073686454394981
BLAIRSTOWN,m,0.3064072317811533
GLENWOOD,m,0.30631679658599575
DELAWARE,l,0.305522708126252
WILLIAMSBURG,s,0.3041780074362757
REDFIELD,m,0.3041046253240873
ALBIA,s,0.30381004921746435
MITCHELLVILLE,s,0.30313689039789216
FLOYD,s,0.3026797983327462
ALTOONA,s,0.30259324027545276
HOLSTEIN,m,0.30235102432370825
OXFORD,s,0.2999261137020401
OSKALOOSA,s,0.2998019700819486
VICTOR,s,0.29961940878225723
GLIDDEN,s,0.2994315134676347
SCRANTON,s,0.29911394155620036
HUMBOLDT,s,0.2987813438314366
MITCHELLVILLE,l,0.29760805476941965
CAMANCHE,m,0.29377736097188545
BANCROFT,s,0.292107350415111
CRESCO,s,0.2916844868240119
GRIMES,s,0.2898710207352898
ARMSTRONG,m,0.2895905572465061
VAN HORNE,l,0.2893401144896855
CORNING,s,0.288746658217672
FAIRFAX,s,0.2879260127517879
ST LUCAS,l,0.2875543985714874
TRIPOLI,s,0.2873849553105061
SIOUX RAPIDS,s,0.2873586855889954
