City,Category Name,Avg Growth Rate
VAN HORNE,AMERICAN SCHNAPPS,11.911925245190842
BROOKLYN,COCKTAILS/RTD,11.735142757431648
LAKE PARK,COCKTAILS/RTD,11.632171862719416
GUTTENBERG,CORN WHISKIES,11.608695652173912
TREYNOR,IOWA SPIRITS MANUFACTURERS,11.603730828436836
SWEA CITY,IMPORTED FLAVORED VODKA,11.40072529465095
MIDDLETOWN,AMERICAN CORDIALS & LIQUEUR,11.396694214876034
LIME SPRINGS,BLENDED WHISKIES,11.376216216216218
MOUNT AYR,SINGLE BARREL BOURBON WHISKIES,11.375944584382871
SHELLSBURG,TEMPORARY & SPECIALTY PACKAGES,11.368067407472616
MONTEZUMA,AMERICAN DISTILLED SPIRIT SPECIALTY,11.276940639269407
WASHBURN,TEMPORARY & SPECIALTY PACKAGES,11.230844844017483
RUDD,TEMPORARY & SPECIALTY PACKAGES,11.203498373469195
STUART,SINGLE BARREL BOURBON WHISKIES,11.161666666666667
BALDWIN,IMPORTED CORDIALS & LIQUEUR,11.083708408614925
MARTELLE,FLAVORED RUM,11.058026030368763
MUSCATINE,IMPORTED DISTILLED SPIRIT SPECIALTY,11.027852251438262
WINDSOR HEIGHTS,AMERICAN DISTILLED SPIRIT SPECIALTY,10.733589947089948
CARLISLE,IMPORTED BRANDIES,10.718844489351264
MEDIAPOLIS,TEMPORARY & SPECIALTY PACKAGES,10.588761825076768
GLENWOOD,AMERICAN DISTILLED SPIRIT SPECIALTY,10.570305555555555
HINTON,MIXTO TEQUILA,10.500153191457011
WEST BEND,BOTTLED IN BOND BOURBON,10.401645768025078
POSTVILLE,NEUTRAL GRAIN SPIRITS,10.0625
JOHNSTON,AMERICAN DISTILLED SPIRIT SPECIALTY,10.035332403533241
EVANSDALE,MEZCAL,10.0
CRESTON,SINGLE BARREL BOURBON WHISKIES,9.982598821995373
MONTROSE,IMPORTED BRANDIES,9.962928290234052
OKOBOJI,IOWA SPIRITS MANUFACTURERS,9.93394616556724
SHENANDOAH,AMERICAN DISTILLED SPIRIT SPECIALTY,9.8743961352657
LONE TREE,IMPORTED CORDIALS & LIQUEUR,9.815921841503053
BANCROFT,IMPORTED CORDIALS & LIQUEURS,9.785714285714286
REINBECK,IOWA SPIRITS MANUFACTURERS,9.764744429882043
NORTH LIBERTY,CORN WHISKIES,9.61624195824113
MADRID,IOWA SPIRITS MANUFACTURERS,9.607155253090644
MARENGO,SINGLE BARREL BOURBON WHISKIES,9.591300764050763
MINDEN,COFFEE LIQUEURS,9.574406002501043
NEVADA,NEUTRAL GRAIN SPIRITS FLAVORED,9.452374879227051
MT PLEASANT,100% AGAVE TEQUILA,9.45166150571597
RAYMOND,CORN WHISKIES,9.434782608695652
CRESCENT,AMERICAN CORDIALS & LIQUEUR,9.394
TREYNOR,AMERICAN CORDIALS & LIQUEUR,9.32
HULL,TEMPORARY & SPECIALTY PACKAGES,9.299505675900496
MAQUOKETA,SINGLE BARREL BOURBON WHISKIES,9.296
LAKE VIEW,SINGLE BARREL BOURBON WHISKIES,9.296
BROOKLYN,STRAIGHT BOURBON WHISKIES,9.291725521313746
SLOAN,IMPORTED DRY GINS,9.291229742612012
INDIANOLA,IMPORTED DISTILLED SPIRIT SPECIALTY,9.24039247490355
REINBECK,IMPORTED CORDIALS & LIQUEUR,9.225058004640372
KALONA,IMPORTED SCHNAPPS,9.220489583285877
ALLISON,IOWA SPIRITS MANUFACTURERS,9.20370999482629
WAPELLO,IOWA SPIRITS MANUFACTURERS,9.155550055429853
MILFORD,FLAVORED GIN,9.110941723878067
PAULLINA,TEMPORARY & SPECIALTY PACKAGES,8.978898506788884
HAWARDEN,IMPORTED CORDIALS & LIQUEURS,8.964285714285715
LAMONI,TEMPORARY & SPECIALTY PACKAGES,8.937268110152756
NORWALK,SINGLE BARREL BOURBON WHISKIES,8.922747149884607
MONTROSE,TEMPORARY & SPECIALTY PACKAGES,8.81544584891851
FREDERICKSBURG,IOWA SPIRITS MANUFACTURERS,8.790870700370503
NEW LONDON,AMERICAN FLAVORED VODKA,8.79051282051282
OGDEN,AMERICAN BRANDIES,8.7707571325597
GRISWOLD,IOWA SPIRITS MANUFACTURERS,8.760704303355958
SULLY,AMERICAN CORDIALS & LIQUEUR,8.754795397158126
INDEPENDENCE,AMERICAN DISTILLED SPIRIT SPECIALTY,8.724571428571428
KELLOGG,TEMPORARY & SPECIALTY PACKAGES,8.702513284466493
LONE TREE,FLAVORED RUM,8.583234599708755
NEWTON,FLAVORED GIN,8.575411775781502
SPENCER,AMERICAN SLOE GINS,8.536185610898253
HULL,SPICED RUM,8.49641444568354
POLK CITY,AGED DARK RUM,8.459340718083748
HAMBURG,AMERICAN CORDIALS & LIQUEUR,8.418862433862435
EXIRA,AMERICAN CORDIALS & LIQUEUR,8.399666666666667
SHEFFIELD,IMPORTED SCHNAPPS,8.394628099173554
GEORGE,TEMPORARY & SPECIALTY PACKAGES,8.393270491479738
PLEASANTVILLE,BLENDED WHISKIES,8.294444444444444
BANCROFT,SINGLE BARREL BOURBON WHISKIES,8.284442819312085
ALTA,IOWA SPIRITS MANUFACTURERS,8.211324087368473
DEXTER,TEMPORARY & SPECIALTY PACKAGES,8.077206374715416
FAIRFIELD,SPECIAL ORDER ITEMS,8.053769567630626
GLIDDEN,TEMPORARY & SPECIALTY PACKAGES,8.051274355995178
SIBLEY,IOWA SPIRITS MANUFACTURERS,8.002830913670008
NEW HARTFORD,IMPORTED DRY GINS,8.000000000000002
LOHRVILLE,IRISH WHISKIES,8.0
FAIRFAX,AMERICAN BRANDIES,8.0
POMEROY,IMPORTED CORDIALS & LIQUEUR,7.999999999999999
BUFFALO CENTER,SCOTCH WHISKIES,7.994077243949693
ROCK VALLEY,NEUTRAL GRAIN SPIRITS FLAVORED,7.944285383903793
CAMANCHE,SPECIAL ORDER ITEMS,7.904964539007093
MORNING SUN,CREAM LIQUEURS,7.855354229350503
GRAND JUNCTION,TEMPORARY & SPECIALTY PACKAGES,7.842490842490843
VAN HORNE,SCOTCH WHISKIES,7.841138211382114
VAN METER,COCKTAILS/RTD,7.837662337662338
TRURO,AMERICAN CORDIALS & LIQUEUR,7.821822274092827
CORYDON,SINGLE BARREL BOURBON WHISKIES,7.724882618395701
SAGEVILLE,AMERICAN DRY GINS,7.664253568535245
NEW SHARON,IMPORTED BRANDIES,7.6585889570552155
VAN METER,IOWA SPIRITS MANUFACTURERS,7.6532085653920205
ONAWA,AMERICAN DISTILLED SPIRIT SPECIALTY,7.648750000000001
DURANT,TEMPORARY & SPECIALTY PACKAGES,7.616580086351907
PELLA,BOTTLED IN BOND BOURBON,7.599099523085673
WILLIAMSBURG,COFFEE LIQUEURS,7.597455685259106
